 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
18	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0020-0002-0418:c:1/4 z:20/50 - Lightning 001/Mark_and_Find 001/Position010	4.123	49.927	41.188	0	206	76.744	59.084	0.787	205.844	40	10285.000	1	20	1.357	0.737	0.900
19	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0001-0411:c:1/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	5.204	36.227	33.875	0	167	72.703	58.246	0.909	188.511	29	9419.000	1	21	1.202	0.832	0.934
20	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0021-0002-0582:c:1/4 z:21/50 - Lightning 001/Mark_and_Find 001/Position010	8.886	38.637	35.332	0	186	67.215	82.422	0.833	343.339	31	17155.000	1	21	1.202	0.832	0.919
21	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0022-0001-0581:c:1/4 z:22/50 - Lightning 001/Mark_and_Find 001/Position010	11.688	28.567	29.576	0	184	67.023	82.141	0.904	333.893	23	16683.000	1	22	1.087	0.920	0.954
22	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0023-0001-0581:c:1/4 z:23/50 - Lightning 001/Mark_and_Find 001/Position010	10.527	28.152	30.268	0	201	66.943	82.151	0.933	296.367	20	14808.000	1	23	1.118	0.894	0.962
23	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0024-0001-0581:c:1/4 z:24/50 - Lightning 001/Mark_and_Find 001/Position010	9.186	26.590	29.784	0	182	66.991	82.147	0.938	244.270	18	12205.000	1	24	1.213	0.825	0.961
24	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0025-0001-0581:c:1/4 z:25/50 - Lightning 001/Mark_and_Find 001/Position010	7.685	33.797	32.795	0	199	66.927	82.299	0.899	259.741	28	12978.000	1	25	1.188	0.842	0.935
25	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0026-0001-0585:c:1/4 z:26/50 - Lightning 001/Mark_and_Find 001/Position010	4.803	41.663	37.327	0	179	66.711	82.881	0.810	200.120	33	9999.000	1	26	1.486	0.673	0.899
26	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0031-0001-0510:c:1/4 z:31/50 - Lightning 001/Mark_and_Find 001/Position010	15.751	35.914	32.494	0	172	93.086	72.238	0.810	565.674	31	28264.000	1	31	1.237	0.809	0.920
27	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0032-0001-0509:c:1/4 z:32/50 - Lightning 001/Mark_and_Find 001/Position010	7.966	40.178	35.524	0	185	92.894	72.193	0.742	320.043	33	15991.000	1	32	1.319	0.758	0.879
28	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleolus_0002-0001-0488:c:2/4 z:2/50 - Lightning 001/Mark_and_Find 001/Position010	4.043	26.411	29.999	0	136	103.998	68.927	0.596	106.774	18	5335.000	2	2	1.546	0.647	0.792
