 	Label	Area	Mean	StdDev	Min	Max	X	Y	Circ.	IntDen	Median	RawIntDen	Ch	Slice	AR	Round	Solidity
61	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0027-0002-0594:c:1/4 z:27/50 - Lightning 001/Mark_and_Find 001/Position010	132.592	93.946	61.497	0	255	69.542	83.819	0.881	12456.566	85	622394.000	1	27	1.212	0.825	0.981
62	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0028-0001-0508:c:1/4 z:28/50 - Lightning 001/Mark_and_Find 001/Position010	164.475	96.983	63.183	0	255	90.733	72.005	0.899	15951.323	90	797010.000	1	28	1.121	0.892	0.983
63	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0028-0002-0593:c:1/4 z:28/50 - Lightning 001/Mark_and_Find 001/Position010	105.153	90.911	57.958	0	255	69.574	83.824	0.895	9559.646	84	477649.000	1	28	1.213	0.824	0.983
64	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0029-0001-0509:c:1/4 z:29/50 - Lightning 001/Mark_and_Find 001/Position010	170.799	93.861	62.628	0	255	90.651	72.118	0.896	16031.299	86	801006.000	1	29	1.094	0.914	0.983
65	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0030-0001-0510:c:1/4 z:30/50 - Lightning 001/Mark_and_Find 001/Position010	167.237	88.431	64.241	0	255	90.708	72.227	0.888	14788.832	77	738926.000	1	30	1.073	0.932	0.982
66	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0031-0001-0510:c:1/4 z:31/50 - Lightning 001/Mark_and_Find 001/Position010	161.533	84.726	63.708	0	255	90.684	72.186	0.890	13685.963	71	683821.000	1	31	1.089	0.918	0.982
67	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0032-0001-0511:c:1/4 z:32/50 - Lightning 001/Mark_and_Find 001/Position010	149.424	82.840	58.260	0	255	90.700	72.175	0.902	12378.372	73	618487.000	1	32	1.093	0.915	0.982
68	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0033-0001-0512:c:1/4 z:33/50 - Lightning 001/Mark_and_Find 001/Position010	132.532	82.829	54.680	0	255	90.664	72.300	0.885	10977.535	75	548494.000	1	33	1.116	0.896	0.981
69	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0034-0001-0513:c:1/4 z:34/50 - Lightning 001/Mark_and_Find 001/Position010	113.539	82.959	55.065	0	255	90.609	72.390	0.883	9419.068	74	470625.000	1	34	1.099	0.910	0.980
70	20241216_dkD_DAPI_EGFP_Klf5_Nr5a2_forrep3.lif-Position010-1.tif:nucleus_0035-0001-0513:c:1/4 z:35/50 - Lightning 001/Mark_and_Find 001/Position010	87.881	83.477	55.434	0	255	90.750	72.487	0.889	7336.076	75	366548.000	1	35	1.091	0.916	0.978
